CODIGO_ESTUDIANTE,PERIODO,GRADO,DESERTOR,ACTIVIDAD_IMEC,ACTIVO,FECHA_NACIMIENTO,COHORTE,CREDITOS_PGA,CREDITOS_APROBADOS,CREDITOS_SEMESTRE_APROBADOS,CREDITOS_SEMESTRE_TOMADOS,CREDITOS_TOMADOS,CREDITOS_TRANSFERIDOS,CREDITOS_SEMESTRE_PGA,GENERO,PRIORIDAD_PROGRAMA,PROMEDIO_ACUMULADO,PROMEDIO_SEMESTRE,PUNTAJE_EXAMEN,NOMBRE_EXAMEN,SEMESTRE_SEGUN_CREDITOS,SITUACION_ACADEMICA,SOBREPASO_ACADEMICO,CIUDAD_RESIDENCIA
631fcd2b-dbf4-45dc-9492-f8d61284f5d5,201210,False,False,True,True,1992,,56.0,57.5,19.5,19.5,57.5,0.0,19.0,M,1,4.69,4.73,,,3.75,NORMAL,NORMAL,CARTAGENA
631fcd2b-dbf4-45dc-9492-f8d61284f5d5,201220,False,False,True,True,1992,,71.0,73.0,15.5,15.5,73.0,0.0,15.0,M,1,4.65,4.5,,,4.61,NORMAL,NORMAL,CARTAGENA
631fcd2b-dbf4-45dc-9492-f8d61284f5d5,201310,False,False,True,True,1992,,92.0,94.5,21.5,21.5,94.5,0.0,21.0,M,1,4.6,4.42,,,5.81,NORMAL,NORMAL,CARTAGENA
631fcd2b-dbf4-45dc-9492-f8d61284f5d5,201320,False,False,True,True,1992,,107.0,110.0,15.5,15.5,110.0,0.0,15.0,M,1,4.61,4.7,,,6.67,NORMAL,NORMAL,CARTAGENA
631fcd2b-dbf4-45dc-9492-f8d61284f5d5,201410,False,False,True,True,1992,,123.0,126.5,16.5,16.5,126.5,0.0,16.0,M,1,4.61,4.59,,,7.58,NORMAL,NORMAL,CARTAGENA
631fcd2b-dbf4-45dc-9492-f8d61284f5d5,201420,True,False,True,True,1992,,139.0,147.0,20.5,20.5,147.0,0.0,16.0,M,1,4.56,4.22,,,8.78,NORMAL,NORMAL,CARTAGENA
6d32c701-d69b-40f0-9f99-5263a1bb6c20,201120,False,False,True,True,1992,201120.0,12.0,9.0,9.0,15.0,15.0,0.0,12.0,M,1,3.62,3.62,491.0,PUNTAJE TOTAL NUEVO ICFES,0.75,NORMAL,PRIMIPARO,AGUA DE DIOS
6d32c701-d69b-40f0-9f99-5263a1bb6c20,201210,False,False,False,True,1992,201120.0,18.0,12.0,3.0,9.0,24.0,0.0,6.0,M,1,3.33,2.75,491.0,PUNTAJE TOTAL NUEVO ICFES,1.0,NORMAL,NORMAL,AGUA DE DIOS
6d32c701-d69b-40f0-9f99-5263a1bb6c20,201220,False,False,False,False,1992,201120.0,18.0,12.0,,,24.0,0.0,,M,1,3.33,,491.0,PUNTAJE TOTAL NUEVO ICFES,1.0,,,AGUA DE DIOS
6d32c701-d69b-40f0-9f99-5263a1bb6c20,201310,False,True,False,False,1992,201120.0,18.0,12.0,,,24.0,0.0,,M,1,3.33,,491.0,PUNTAJE TOTAL NUEVO ICFES,1.0,,,AGUA DE DIOS
eb81f0e7-8488-46ef-9db6-7a973c41aa57,201310,False,False,True,True,1994,,52.0,55.5,18.0,18.0,55.5,0.0,18.0,M,2,4.44,4.41,,,3.64,NORMAL,NORMAL,BOGOTA D.C.
eb81f0e7-8488-46ef-9db6-7a973c41aa57,201320,False,False,True,True,1994,,71.0,74.5,19.0,19.0,74.5,0.0,19.0,M,2,4.37,4.18,,,4.69,NORMAL,NORMAL,BOGOTA D.C.
eb81f0e7-8488-46ef-9db6-7a973c41aa57,201410,False,False,True,True,1994,,89.0,92.5,18.0,18.0,92.5,0.0,18.0,M,2,4.3,4.04,,,5.69,NORMAL,NORMAL,BOGOTA D.C.
eb81f0e7-8488-46ef-9db6-7a973c41aa57,201420,False,False,False,True,1994,,107.0,110.5,18.0,18.0,110.5,0.0,18.0,M,2,4.27,4.12,,,6.69,NORMAL,NORMAL,BOGOTA D.C.
eb81f0e7-8488-46ef-9db6-7a973c41aa57,201510,False,False,False,True,1994,,107.0,110.5,0.0,0.0,110.5,0.0,0.0,M,2,4.27,0.0,,,6.69,NORMAL,NORMAL,BOGOTA D.C.
eb81f0e7-8488-46ef-9db6-7a973c41aa57,201520,False,False,True,True,1994,,125.0,128.5,18.0,18.0,128.5,9.0,18.0,M,2,4.24,4.07,,,8.21,NORMAL,NORMAL,BOGOTA D.C.
eb81f0e7-8488-46ef-9db6-7a973c41aa57,201610,False,False,False,True,1994,,143.0,147.5,19.0,19.0,147.5,9.0,18.0,M,2,4.26,4.36,,,9.34,NORMAL,NORMAL,BOGOTA D.C.
eb81f0e7-8488-46ef-9db6-7a973c41aa57,201620,False,False,False,True,1994,,143.0,153.5,6.0,6.0,153.5,9.0,0.0,M,2,4.26,0.0,,,9.7,NORMAL,NORMAL,BOGOTA D.C.
eb81f0e7-8488-46ef-9db6-7a973c41aa57,201710,False,True,False,True,1994,,150.0,160.5,7.0,7.0,160.5,9.0,7.0,M,2,4.26,4.34,,,10.12,NORMAL,NORMAL,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201220,False,False,True,True,1993,201220.0,15.0,18.0,18.0,18.0,18.0,0.0,15.0,M,1,3.5,3.5,425.0,PUNTAJE TOTAL NUEVO ICFES,1.38,NORMAL,PRIMIPARO,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201310,False,False,True,True,1993,201220.0,31.0,25.0,7.0,16.0,34.0,0.0,16.0,M,1,3.24,3.0,425.0,PUNTAJE TOTAL NUEVO ICFES,1.81,PRUEBA ACADEMICA,NORMAL,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201320,False,False,True,True,1993,201220.0,46.0,37.0,12.0,15.0,49.0,0.0,15.0,M,1,3.37,3.65,425.0,PUNTAJE TOTAL NUEVO ICFES,2.56,NORMAL,NORMAL,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201410,False,False,True,True,1993,201220.0,61.0,43.0,6.0,15.0,64.0,0.0,15.0,M,1,3.19,2.65,425.0,PUNTAJE TOTAL NUEVO ICFES,2.94,PRUEBA ACADEMICA,NORMAL,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201419,False,False,True,True,1993,201220.0,64.0,43.0,0.0,3.0,67.0,0.0,3.0,M,1,3.14,2.0,425.0,PUNTAJE TOTAL NUEVO ICFES,2.94,PRUEBA ACADEMICA,NORMAL,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201420,False,False,True,True,1993,201220.0,73.0,49.0,6.0,9.0,76.0,0.0,9.0,M,1,3.16,3.32,425.0,PUNTAJE TOTAL NUEVO ICFES,3.28,SUSPENSION,NORMAL,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201510,False,False,False,False,1993,201220.0,73.0,49.0,,,76.0,0.0,,M,1,3.16,,425.0,PUNTAJE TOTAL NUEVO ICFES,3.28,,,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201520,False,False,True,True,1993,201220.0,82.0,55.0,6.0,9.0,85.0,0.0,9.0,M,1,3.19,3.43,425.0,PUNTAJE TOTAL NUEVO ICFES,3.61,SUSPENSION,PRUEBA REINGRESO,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201610,False,False,False,False,1993,201220.0,82.0,55.0,,,85.0,0.0,,M,1,3.19,,425.0,PUNTAJE TOTAL NUEVO ICFES,3.61,,,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201620,False,False,False,False,1993,201220.0,82.0,55.0,,,85.0,0.0,,M,1,3.19,,425.0,PUNTAJE TOTAL NUEVO ICFES,3.61,,,BOGOTA D.C.
ec6dd874-7fbb-4cc2-acb5-92ff1c47cf48,201710,False,True,False,False,1993,201220.0,82.0,55.0,,,85.0,0.0,,M,1,3.19,,425.0,PUNTAJE TOTAL NUEVO ICFES,3.61,,,BOGOTA D.C.
7b9877dd-3bff-4cc0-a4f5-75307d9f7795,201110,False,False,True,True,1993,201110.0,15.0,13.0,13.0,16.0,16.0,0.0,15.0,M,1,3.3,3.3,701.0,PUNTAJE TOTAL NUEVO ICFES,1.06,NORMAL,PRIMIPARO,BOGOTA D.C.
7b9877dd-3bff-4cc0-a4f5-75307d9f7795,201120,False,False,False,False,1993,201110.0,15.0,13.0,,,16.0,0.0,,M,1,3.3,,701.0,PUNTAJE TOTAL NUEVO ICFES,1.06,,,BOGOTA D.C.
7b9877dd-3bff-4cc0-a4f5-75307d9f7795,201210,False,False,False,False,1993,201110.0,15.0,13.0,,,16.0,0.0,,M,1,3.3,,701.0,PUNTAJE TOTAL NUEVO ICFES,1.06,,,BOGOTA D.C.
7b9877dd-3bff-4cc0-a4f5-75307d9f7795,201220,False,True,False,False,1993,201110.0,15.0,13.0,,,16.0,0.0,,M,1,3.3,,701.0,PUNTAJE TOTAL NUEVO ICFES,1.06,,,BOGOTA D.C.
67d1da77-e132-4f0f-bafb-985aaee4827b,201110,False,False,True,True,1993,201110.0,18.0,18.5,18.5,18.5,18.5,0.0,18.0,M,1,4.08,4.08,719.0,PUNTAJE TOTAL NUEVO ICFES,1.41,NORMAL,PRIMIPARO,BOGOTA D.C.
67d1da77-e132-4f0f-bafb-985aaee4827b,201120,False,False,True,True,1993,201110.0,43.0,43.5,25.0,25.0,43.5,0.0,25.0,M,1,4.04,4.02,719.0,PUNTAJE TOTAL NUEVO ICFES,2.97,NORMAL,NORMAL,BOGOTA D.C.
67d1da77-e132-4f0f-bafb-985aaee4827b,201210,False,False,True,True,1993,201110.0,59.0,59.5,16.0,16.0,59.5,0.0,16.0,M,1,3.99,3.84,719.0,PUNTAJE TOTAL NUEVO ICFES,3.86,NORMAL,NORMAL,BOGOTA D.C.
67d1da77-e132-4f0f-bafb-985aaee4827b,201220,False,False,True,True,1993,201110.0,77.0,77.5,18.0,18.0,77.5,0.0,18.0,M,1,4.01,4.08,719.0,PUNTAJE TOTAL NUEVO ICFES,4.86,NORMAL,NORMAL,BOGOTA D.C.
67d1da77-e132-4f0f-bafb-985aaee4827b,201310,False,False,True,True,1993,201110.0,101.0,101.5,24.0,24.0,101.5,0.0,24.0,M,1,4.03,4.12,719.0,PUNTAJE TOTAL NUEVO ICFES,6.19,NORMAL,NORMAL,BOGOTA D.C.
67d1da77-e132-4f0f-bafb-985aaee4827b,201320,False,False,True,True,1993,201110.0,116.0,116.5,15.0,15.0,116.5,0.0,15.0,M,1,4.03,4.03,719.0,PUNTAJE TOTAL NUEVO ICFES,7.03,NORMAL,NORMAL,BOGOTA D.C.
67d1da77-e132-4f0f-bafb-985aaee4827b,201410,False,False,True,True,1993,201110.0,116.0,122.5,6.0,6.0,122.5,0.0,0.0,M,1,4.03,0.0,719.0,PUNTAJE TOTAL NUEVO ICFES,7.36,NORMAL,NORMAL,BOGOTA D.C.
67d1da77-e132-4f0f-bafb-985aaee4827b,201420,False,False,True,True,1993,201110.0,126.0,133.0,10.5,10.5,133.0,0.0,10.0,M,1,4.04,4.1,719.0,PUNTAJE TOTAL NUEVO ICFES,7.94,NORMAL,NORMAL,BOGOTA D.C.
67d1da77-e132-4f0f-bafb-985aaee4827b,201510,True,False,True,True,1993,201110.0,135.0,143.0,10.0,10.0,143.0,0.0,9.0,M,1,4.06,4.33,719.0,PUNTAJE TOTAL NUEVO ICFES,8.54,NORMAL,NORMAL,BOGOTA D.C.
f663f06c-fdff-4a47-9068-5d511cea6929,201210,False,False,True,True,1993,,53.0,54.0,16.0,16.0,54.0,0.0,16.0,M,2,3.89,4.06,,,3.56,NORMAL,NORMAL,BOGOTA D.C.
